Source,Target,Type,Id,Label,timeset,Weight
606935,1420000,Undirected,1,,,1
606935,14785048,Undirected,2,,,1
606935,21759323,Undirected,3,,,1
606935,27835117,Undirected,4,,,1
606935,48038134,Undirected,5,,,1
606935,51109331,Undirected,6,,,1
606935,123135073,Undirected,7,,,1
606935,163604438,Undirected,8,,,1
606935,238700453,Undirected,9,,,1
1420000,1895348,Undirected,11,,,1
1420000,8091161,Undirected,12,,,1
1420000,10755507,Undirected,13,,,1
1420000,11032809,Undirected,14,,,1
1420000,13678754,Undirected,15,,,1
1420000,14785048,Undirected,16,,,1
1420000,20113344,Undirected,17,,,1
1420000,21718456,Undirected,18,,,1
1420000,27835117,Undirected,19,,,1
1420000,29037626,Undirected,20,,,1
1420000,30554816,Undirected,21,,,1
1420000,41848358,Undirected,22,,,1
1420000,48038134,Undirected,23,,,1
1420000,51109331,Undirected,24,,,1
1420000,51415668,Undirected,25,,,1
1420000,51474395,Undirected,26,,,1
1420000,75730636,Undirected,27,,,1
1420000,92102535,Undirected,28,,,1
1420000,117257470,Undirected,29,,,1
1420000,118572183,Undirected,30,,,1
1420000,154318196,Undirected,31,,,1
1420000,169281899,Undirected,32,,,1
1420000,238700453,Undirected,33,,,1
1420000,244474708,Undirected,34,,,1
1420000,591276730,Undirected,35,,,1
1687066,1895348,Undirected,36,,,1
1687066,15604345,Undirected,37,,,1
1687066,21245937,Undirected,38,,,1
1687066,21759323,Undirected,39,,,1
1687066,27835117,Undirected,40,,,1
1687066,64971391,Undirected,41,,,1
1687066,71079139,Undirected,42,,,1
1687066,123135073,Undirected,43,,,1
1687066,169281899,Undirected,44,,,1
1687066,298914898,Undirected,45,,,1
1687066,467822313,Undirected,46,,,1
1687066,540038266,Undirected,47,,,1
1895348,15604345,Undirected,50,,,1
1895348,20113344,Undirected,51,,,1
1895348,21245937,Undirected,52,,,1
1895348,21759323,Undirected,53,,,1
1895348,27835117,Undirected,54,,,1
1895348,48038134,Undirected,55,,,1
1895348,48823116,Undirected,56,,,1
1895348,51109331,Undirected,57,,,1
1895348,64971391,Undirected,58,,,1
1895348,71079139,Undirected,59,,,1
1895348,298914898,Undirected,60,,,1
1895348,540038266,Undirected,61,,,1
1922205,14785048,Undirected,62,,,1
1922205,24457357,Undirected,63,,,1
3212481,4404190,Undirected,64,,,1
3212481,6746113,Undirected,65,,,1
3212481,13409053,Undirected,66,,,1
3212481,16294266,Undirected,67,,,1
3212481,18871167,Undirected,68,,,1
3212481,22386134,Undirected,69,,,1
3212481,22468715,Undirected,70,,,1
3212481,30019096,Undirected,71,,,1
3212481,30573135,Undirected,72,,,1
3212481,36726292,Undirected,73,,,1
3212481,50030086,Undirected,74,,,1
3212481,97673870,Undirected,75,,,1
3212481,105656625,Undirected,76,,,1
3212481,138385912,Undirected,77,,,1
3212481,234107988,Undirected,78,,,1
3212481,255783283,Undirected,79,,,1
3212481,343057187,Undirected,80,,,1
3212481,546700624,Undirected,81,,,1
4404190,6746113,Undirected,83,,,1
4404190,16294266,Undirected,84,,,1
4404190,18871167,Undirected,85,,,1
4404190,22386134,Undirected,86,,,1
4404190,22468715,Undirected,87,,,1
4404190,22794354,Undirected,88,,,1
4404190,30573135,Undirected,89,,,1
4404190,82877090,Undirected,90,,,1
4404190,97673870,Undirected,91,,,1
4404190,137211660,Undirected,92,,,1
4404190,138385912,Undirected,93,,,1
4404190,141201828,Undirected,94,,,1
4404190,227089859,Undirected,95,,,1
4404190,234107988,Undirected,96,,,1
4404190,255783283,Undirected,97,,,1
4404190,546700624,Undirected,98,,,1
4474300,5023629,Undirected,99,,,1
4474300,18871167,Undirected,100,,,1
4474300,22386134,Undirected,101,,,1
4474300,22794354,Undirected,102,,,1
4474300,30228633,Undirected,103,,,1
4474300,36726292,Undirected,104,,,1
4474300,50030086,Undirected,105,,,1
4474300,97673870,Undirected,106,,,1
4474300,103354854,Undirected,107,,,1
4474300,137694077,Undirected,108,,,1
4474300,138385912,Undirected,109,,,1
4474300,151443934,Undirected,110,,,1
4474300,175647480,Undirected,111,,,1
5023629,6746113,Undirected,113,,,1
5023629,13409053,Undirected,114,,,1
5023629,16294266,Undirected,115,,,1
5023629,16914661,Undirected,116,,,1
5023629,18871167,Undirected,117,,,1
5023629,22425585,Undirected,118,,,1
5023629,22794354,Undirected,119,,,1
5023629,30228633,Undirected,120,,,1
5023629,36726292,Undirected,121,,,1
5023629,50030086,Undirected,122,,,1
5023629,97673870,Undirected,123,,,1
5023629,103354854,Undirected,124,,,1
5023629,137211660,Undirected,125,,,1
5023629,141201828,Undirected,126,,,1
5023629,227089859,Undirected,127,,,1
5649083,105656625,Undirected,128,,,1
5649083,222276427,Undirected,129,,,1
6746113,10755507,Undirected,133,,,1
6746113,13409053,Undirected,134,,,1
6746113,16294266,Undirected,135,,,1
6746113,18871167,Undirected,136,,,1
6746113,20113344,Undirected,137,,,1
6746113,22386134,Undirected,138,,,1
6746113,22425585,Undirected,139,,,1
6746113,22468715,Undirected,140,,,1
6746113,22794354,Undirected,141,,,1
6746113,30019096,Undirected,142,,,1
6746113,30228633,Undirected,143,,,1
6746113,30573135,Undirected,144,,,1
6746113,36726292,Undirected,145,,,1
6746113,50030086,Undirected,146,,,1
6746113,57179635,Undirected,147,,,1
6746113,64971391,Undirected,148,,,1
6746113,82877090,Undirected,149,,,1
6746113,97673870,Undirected,150,,,1
6746113,99535897,Undirected,151,,,1
6746113,101326289,Undirected,152,,,1
6746113,103354854,Undirected,153,,,1
6746113,103505180,Undirected,154,,,1
6746113,137211660,Undirected,155,,,1
6746113,138385912,Undirected,156,,,1
6746113,141201828,Undirected,157,,,1
6746113,151443934,Undirected,158,,,1
6746113,227089859,Undirected,159,,,1
6746113,335898091,Undirected,160,,,1
6746113,467822313,Undirected,161,,,1
8091161,11032809,Undirected,163,,,1
8091161,13678754,Undirected,164,,,1
8091161,14785048,Undirected,165,,,1
8091161,20113344,Undirected,166,,,1
8091161,21718456,Undirected,167,,,1
8091161,21759323,Undirected,168,,,1
8091161,22643458,Undirected,169,,,1
8091161,24457357,Undirected,170,,,1
8091161,27280042,Undirected,171,,,1
8091161,27835117,Undirected,172,,,1
8091161,29560623,Undirected,173,,,1
8091161,30554816,Undirected,174,,,1
8091161,48038134,Undirected,175,,,1
8091161,51109331,Undirected,176,,,1
8091161,51415668,Undirected,177,,,1
8091161,57146654,Undirected,178,,,1
8091161,75730636,Undirected,179,,,1
8091161,92102535,Undirected,180,,,1
8091161,112323601,Undirected,181,,,1
8091161,123135073,Undirected,182,,,1
8091161,163604438,Undirected,183,,,1
8091161,238700453,Undirected,184,,,1
8356527,14785048,Undirected,185,,,1
8356527,92102535,Undirected,186,,,1
10755507,20113344,Undirected,189,,,1
